instruction,e8_m1,e8_m2,e8_m4,e8_m8,e16_m1,e16_m2,e16_m4,e16_m8,e32_m1,e32_m2,e32_m4,e32_m8
"vmsle.vi v8,v16,13","0,55","1,025","2,375",10,"0,5",1,"2,35",10,"0,5","0,975","2,35",10
"vmsle.vi v8,v16,13,v0.t","0,475","0,975","2,35",10,"0,525",1,"2,35",10,"0,55","1,025","2,35",10
"vmsgtu.vx v8,v16,t0","2,325","2,325","2,975",10,"2,325","2,325",3,"10,025","2,375","2,375","3,025",10
"vmsgtu.vx v8,v16,t0,v0.t","2,325","2,325","3,025","9,975","2,35","2,35","3,025","9,975","2,325","2,325","2,975","9,975"
"vmsgtu.vi v8,v16,13","0,55","1,025","2,375",10,"0,5",1,"2,35",10,"0,5","0,975","2,35",10
"vmsgtu.vi v8,v16,13,v0.t","0,475","0,975","2,35",10,"0,525",1,"2,35",10,"0,55","1,025","2,35",10
"vmsgt.vx v8,v16,t0","2,325","2,325","2,975",10,"2,325","2,325",3,"10,025","2,375","2,375","3,05",10
"vmsgt.vx v8,v16,t0,v0.t","2,325","2,325",3,"9,975","2,35","2,35","3,05","9,975","2,325","2,325","2,975","9,975"
"vmsgt.vi v8,v16,13","0,55","1,025","2,375",10,"0,5",1,"2,35",10,"0,5","0,975","2,35",10
"vmsgt.vi v8,v16,13,v0.t","0,475","0,975","2,35",10,"0,525",1,"2,35",10,"0,55","1,025","2,35",10
"vmsbf.m v8,v16,v0.t","0,55","0,575","1,025","3,025","0,5","0,525",1,"2,975","0,475","0,5","0,95","3,025"
"vmsof.m v8,v16,v0.t","0,475","0,5","0,975","2,975","0,475","0,5","0,95",3,"0,525","0,55",1,"2,975"
"vmsif.m v8,v16,v0.t","0,5","0,525","0,975","3,025","0,55","0,55","1,025","3,025","0,5","0,525",1,"3,025"
"viota.m v8,v16,v0.t","0,55","1,025",2,4,"0,475",1,2,4,"0,475","0,975",2,4
"vcompress.vm v0,v8,v16","0,525","2,3","5,275","20,025","0,55","2,375","5,35",20,"0,5","2,325","5,325","20,025"
"vmandnot.mm v0,v8,v16","0,5","0,5","1,475","0,55","0,55","0,55","1,525","0,525","0,525","0,525","1,5","0,55"
"vmand.mm v0,v8,v16","0,5","0,5","1,475","0,5","0,525","0,525","1,5","0,55","0,55","0,55","1,525","0,525"
"vmor.mm v0,v8,v16","0,5","0,5","1,5","0,5","0,5","0,5","1,475","0,55","0,55","0,55","1,525","0,5"
"vmxor.mm v0,v8,v16","0,5","0,5","1,5","0,5","0,5","0,5","1,475","0,525","0,525","0,525","1,5","0,5"
"vmornot.mm v0,v8,v16","0,525","0,525","1,5","0,5","0,5","0,5","1,5","0,5","0,5","0,5","1,475","0,5"
"vmnand.mm v0,v8,v16","0,55","0,55","1,525","0,5","0,5","0,5","1,5","0,475","0,475","0,5","1,475","0,5"
"vmnor.mm v0,v8,v16","0,55","0,55","1,525","0,525","0,525","0,525","1,5","0,5","0,5","0,5","1,5","0,525"
"vmxnor.mm v0,v8,v16","0,5","0,5","1,475","0,55","0,525","0,525","1,5","0,5","0,5","0,5","1,5","0,55"
"vsaddu.vv v8,v16,v24","0,5",1,2,4,"0,475",1,2,4,"0,5",1,2,4
"vsaddu.vv v8,v16,v24,v0.t","0,525","1,025",2,4,"0,475",1,2,"3,975","0,525","0,975","1,975",4
"vsaddu.vx v8,v16,t0","2,325","2,325",3,5,"2,325","2,325",3,5,"2,35","2,35","3,025",5
